ITEM NO.|CROSS-REFERENCE NO.|DESCRIPTION|DESCRIPTION 2|ITEM CATEGORY|PRODUCT GROUP|LOCATION|QUANTITY|OE MANUFACTURER|WEIGHT|CUBAGE|HEIGHT|WIDTH|DEPTH|ITEM UPC NO.|COUNTRY OF ORIG|TARIFF NO.|SCHEDULE B CODE
CUM61894||2881772RX|KIT TURBOCHARGER|Turbochargers|Holset||0|CUMMINS - PARTS|5|0|0|0|0|||8414800500|8414800500
CUM61899||2881754RX|KIT TURBOCHARGER|Turbochargers|Holset||0|CUMMINS - PARTS|5|0|0|0|0|||8414800500|8414800500
CUM61903||2881750RX|KIT TURBOCHARGER|Turbochargers|Holset||0|CUMMINS - PARTS|5|0|0|0|0|||8414800500|8414800500
CUM61905||2881749RX|KIT TURBOCHARGER|Turbochargers|Holset||0|CUMMINS - PARTS|5|0|0|0|0|||8414800500|8414800500
CUM61913||2881717RX|KIT TURBOCHARGER|Turbochargers|Holset||0|CUMMINS - PARTS|5|0|0|0|0|||8414800500|8414800500
CUM61919||2881702RX|TURBOCHARGER HE 07 VG MR|Turbochargers|Holset||0|CUMMINS - PARTS|5|0|0|0|0|||8414800500|8414800500
CUM687||4902789|GASKET ACTUATOR|Turbo Repair/Install Comp|General||0|CUMMINS - PARTS|0.01|0.252|0.01|4|6.3||US|8708998180|4009110000
CUM715||4352566RX|KIT ICP TURBOCHARGER|Turbochargers|Holset||0|CUMMINS - PARTS|5|0|0|0|0||US|8414800500|8414800500
CUM717||4352334RX|KIT TURBOCHARGER (NO ACTUATOR)|Turbochargers|Holset||0|CUMMINS - PARTS|42|3959.28|16.75|15.5|15.25||US|8414800500|8414800500
CUM719||4352333RX|KIT TURBOCHARGER|Turbochargers|Holset||0|CUMMINS - PARTS|56.65|5184|18|16|18||US|8414800500|8414800500
CUM80128||4352523RX|TURBOCHARGER|Turbochargers|Holset||0|CUMMINS - PARTS|58|4105.64|17.2|15.5|15.4||US|8414800500|8414800500
CUM802||4089314RX|KIT HY35W TURBOCHARGER|Turbochargers|Holset||0|CUMMINS - PARTS|30|0|0|0|0||US|8414800500|8414800500
CUM80201||4352525RX|Reman Cummins HE451VE Turbo, Short Minus Actuator|Turbochargers|Holset||2|CUMMINS - PARTS|56|4896|18|16|17|||8414800500|8414800500
CUM848|4032067;4032659;4032772;4032772 RX;4032772HX;4032805;4034315;4034315KX;4034315NX;4034315RX|4034315RX|Reman Cummins Actuator HE300 ISB 6.7L ISB|Turbocharger Components|Actuator||0|CUMMINS - PARTS|4.91|943.857|6.38|11.38|13||US|8414904190|8414902095
CUM850||4034288|KIT VG TUR ACT SERVICE|Turbocharger Components|Actuator||0|CUMMINS - PARTS|5.8|489.125|6.5|7|10.75||US|8414904190|8414902095
CUM851||4034122RX|Discontinued - Reman Actuator, Cummins ISC/ISL|Turbocharger Components|General||1|CUMMINS - PARTS|5.55|385.938|6.5|6.25|9.5||US|8484100000|8501104060
CUM854|4032772;4032772H;4032772HX;4032772NX;4032772RX;4034315;4034315 KX;4034315 NX;4034315RX;CUM4032772RX|4032772RX|KIT VG TUR ACT SERVICE|Turbocharger Components|General||0|CUMMINS - PARTS|4.15|520.128|6.88|7|10.8||US|8484100000|8501104060
CUM874||4025228|TURBOCHARGER HY30W|Turbochargers|Holset||0|CUMMINS - PARTS|18|4105.64|17.2|15.5|15.4||US|8414800500|8414800500
